,Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ
5455,1.1317986567300606,0.15384615384615385,-0.13659775324274978,10.788597071525718,106.80042908787392,0.0,1,1,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
1350,0.7887053628600965,0.23076923076923078,0.5849971026224333,10.8077237677945,106.645930672131,3.0,0,0,0.6349856886503463,0.0,0.0,0.0,0.0,1.0
443,-0.28090108395535385,0.23076923076923078,0.963530485543728,10.6927206131217,106.741057034401,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
2414,0.3707119834879608,0.15384615384615385,0.1302907279796492,10.7438970976317,106.608921639358,3.0,0,1,0.11316161425994499,0.0,0.0,1.0,0.0,0.0
1061,0.11572050155235063,0.3076923076923077,-0.13659775324274978,10.83554285270771,106.84372023571056,0.0,1,1,0.30272686033993124,0.0,0.0,0.0,1.0,0.0
3481,-0.4750780736920162,0.23076923076923078,-0.13659775324274978,10.7620215919937,106.667186392024,0.0,1,1,0.9196032047928032,0.0,0.0,0.0,1.0,0.0
5700,-0.5826509567402912,0.23076923076923078,-0.7884660886417492,10.7843673717223,106.778986187145,2.0,0,0,0.11316161425994499,0.0,0.0,1.0,0.0,0.0
5671,0.3707119834879608,0.23076923076923078,2.0502110105697895,10.7558129898221,106.606477744459,0.0,1,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
2417,1.1833785954106828,0.38461538461538464,0.5849971026224333,10.8083101680578,106.687979480697,0.0,1,0,1.1685438955241836,0.0,0.0,0.0,0.0,1.0
3893,0.29564637201642957,0.4615384615384616,0.1302907279796492,10.7637712980099,106.686251971999,3.0,0,1,0.30272686033993124,0.0,0.0,0.0,1.0,0.0
2549,0.21656469094070732,0.07692307692307693,-0.4391709580720064,10.8391823331996,106.781535596121,3.0,0,0,-0.9028346336956022,0.0,0.0,1.0,0.0,0.0
2741,0.29564637201642957,0.07692307692307693,0.1302907279796492,10.8203349421179,106.703945064519,2.0,0,0,-0.5962397703258719,0.0,0.0,1.0,0.0,0.0
2807,0.5366963775693665,0.23076923076923078,-0.13659775324274978,10.7902444881553,106.693840851733,0.0,1,1,0.4757863711357461,0.0,0.0,0.0,0.0,1.0
4320,-1.6356139825265459,0.07692307692307693,-0.13659775324274978,10.7593632570059,106.687816746859,0.0,1,1,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
1055,-0.2360953837240995,0.0,-1.7072229052631471,10.7033675228425,106.703876423949,3.0,0,0,-0.09639304316274322,0.0,0.0,1.0,0.0,0.0
848,-0.1926076911174569,0.07692307692307693,-0.13659775324274978,10.8712828261615,106.631176806986,3.0,0,0,-1.265459390571404,0.0,0.0,0.0,0.0,1.0
2988,-1.113976416559445,0.15384615384615385,-1.7072229052631471,10.8249780315671,106.688238891375,1.0,0,1,-0.5962397703258719,0.0,0.0,0.0,1.0,0.0
3703,-0.04974733457061966,0.07692307692307693,-0.4391709580720064,10.7347279784393,106.613154513247,2.0,0,1,-0.9028346336956022,0.0,0.0,0.0,1.0,0.0
1294,-0.5826509567402912,0.15384615384615385,-0.13659775324274978,10.7974748607388,106.696075508584,0.0,1,1,-0.3306552193971129,0.0,0.0,0.0,1.0,0.0
3803,-1.5798158528105595,0.07692307692307693,-0.13659775324274978,10.7821461133585,106.673176308747,0.0,1,1,-0.9028346336956022,0.0,0.0,0.0,1.0,0.0
5288,0.4281357043022882,0.15384615384615385,0.1302907279796492,10.8589520810071,106.756438018946,3.0,0,1,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
6027,0.6378280961214066,0.23076923076923078,-1.2015945422910468,10.7992051520477,106.650553810107,2.0,0,0,0.9196032047928032,0.0,0.0,0.0,1.0,0.0
5993,-0.5012464551475065,0.23076923076923078,0.1302907279796492,10.8654417211459,106.614464290022,2.0,0,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
4489,1.883538051044993,0.5384615384615385,0.1302907279796492,10.7481881717709,106.71587604964,3.0,0,1,0.30272686033993124,0.0,0.0,0.0,1.0,0.0
4667,0.7093811696941079,0.3076923076923077,0.1302907279796492,10.8053268828039,106.698885168493,3.0,0,1,0.11316161425994499,0.0,1.0,0.0,1.0,0.0
