Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Duong,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Khoảng giá
28.0,4.0,4.1,2.0,2.0,10.7979424215859,106.710765114834,18.827244701348747,15.62195460561182,3299.9,0,0,1,0,0,1,20.237480453892054,99.48059032091882,0.3063729203915269,0.2139458771477923,11.0,2.658494151406354,2.065596134857783
42.0,2.0,7.0,2.0,0.0,10.7627757598868,106.686838667875,53.75818181811302,62.50032105846313,48.0,1,0,0,0,0,1,83.28399184762165,51.29166666666667,0.0,48.70833333333333,5.0,2.1422413046616593,2.379546134130174
129.0,3.0,6.0,2.0,0.0,10.6748473561654,106.698688826558,8.13167257069548,7.904941853280308,473.6,0,0,1,0,0,1,7.1378154551575275,49.668496621621614,0.0,50.33361486486486,8.0,11.250745184081037,1.9600947840472696
44.0,4.0,5.0,2.0,2.0,10.7919155936378,106.691530180048,53.75818181811302,34.078087611623104,1542.6,1,1,1,1,0,0,29.532983479503898,99.35692985868016,0.0,0.6456631660832362,17.0,2.0553967004240135,2.5572273113676265
56.0,5.0,12.0,2.0,2.0,10.7696354679315,106.613470428288,10.737500000137535,7.657431272695933,1167.3,0,0,0,1,0,0,9.52950535445163,99.99914332219652,0.0,0.0,10.0,9.598362166493525,2.174751721484161
56.0,5.0,5.0,2.0,2.0,10.8082294333965,106.688379449594,18.827244701348747,20.32287616343902,88.1,1,0,0,0,0,0,27.352816121584368,17.593643586833146,0.0,82.46311010215666,9.0,3.8436717535912654,2.509599262378372
204.0,4.0,13.333333333333334,2.0,0.0,10.8044869693421,106.728806977526,38.64743434299875,67.34407750317621,,0,0,0,0,0,1,27.10540950291434,,,,12.0,4.380963883538596,3.5553480614894135
76.0,2.0,20.0,2.0,0.0,10.7969822417324,106.68108431791,18.635920863560628,18.832267611843733,79.8,1,0,0,0,0,1,22.33582172180278,27.631578947368425,0.0,72.34335839598998,8.0,3.1974100822691987,2.5257286443082556
300.0,9.0,30.0,2.0,2.0,10.8072193885983,106.623676944883,14.870739305516691,10.41623787774266,1109.4,0,0,1,0,0,0,20.282795143133217,22.70957274202271,0.0,77.29042725797729,40.0,9.141569573472024,3.610917912644224
70.0,2.0,6.0,2.0,0.0,10.8097368183889,106.692754128669,18.827244701348747,15.287451678785835,765.2,1,0,0,0,0,0,16.622030583543015,96.49503397804496,0.0,3.5023523261892313,7.0,3.860536706551581,2.341805806147327
51.0,2.0,4.0,2.0,0.0,10.7834649429933,106.678354106471,54.466025226590574,24.57074925894742,65.7,0,0,0,0,0,0,15.287920285607695,5.220700152207002,0.0,0.0,5.0,2.619584418826396,2.174751721484161
74.0,4.0,5.0,2.0,2.0,10.8255988612542,106.689963225037,11.098013468192365,15.14978969354972,146.0,1,1,0,0,0,0,13.376417548688032,24.876712328767123,0.0,75.10958904109589,24.0,5.647694552369363,2.747270914255491
51.0,3.0,6.0,1.0,0.0,10.794583957651,106.657608314522,19.38917355371904,18.09242242658114,44.2,0,1,1,1,0,1,31.071833287465193,20.15837104072398,0.0,79.84162895927601,7.0,5.18060250607727,2.2823823856765264
55.0,4.0,6.0,2.0,2.0,10.7614338234842,106.590270992384,10.737500000137535,10.512328309478454,787.9,1,1,1,0,0,0,19.567814035088464,56.18606422134789,10.615560350298262,33.20218301814952,10.0,12.214461548891624,2.039920783517553
52.0,4.0,6.0,2.0,0.0,10.8710339688032,106.732681686849,15.481076923082806,12.984020803803071,,1,1,1,1,0,0,13.817378010161791,,,,10.0,11.115981961680358,1.7047480922384253
38.0,2.0,3.0,2.0,0.0,10.7765733981852,106.605641773778,10.737500000137535,8.129243735301495,279.8,0,1,1,1,0,0,16.2498614921421,31.375982844889204,0.0,68.62044317369549,4.0,10.427476181097193,1.7884205679625405
64.0,4.0,10.0,2.0,2.0,10.8504188221545,106.615632251397,8.826587031047127,11.406557156906402,,0,0,0,0,0,0,15.925009076551776,,,,9.0,12.474561104669894,2.2915241456346207
386.0,10.0,30.0,0.0,0.0,10.762538935515,106.686733086945,53.75818181811302,62.50032105846313,2971.1,0,0,0,0,0,0,83.28399184762165,74.29975429975431,0.0,25.698899397529537,20.0,2.1687338061168098,6.129050210060545
51.0,2.0,5.0,2.0,1.0,10.8718379765399,106.666757261166,8.826587031047127,8.620583204738967,2225.8,1,1,1,0,0,0,13.665524544652554,100.0,0.0,0.0,5.0,11.297507467358534,1.6486586255873816
