Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Đường_Từ_Địa_Chỉ,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Khoảng giá
44.0,4.0,5.0,10.7919155936378,106.691530180048,3.0,53.75818181817839,34.07029975082686,1542.6,1,1,1,1,0,0,25.9063569677296,99.35692985868016,0.0,0.0,0.6456631660832362,17.0,2.0553967004240135,0.0,0.0,0.0,0.0,1.0,11.9
56.0,5.0,12.0,10.7696354679315,106.613470428288,0.0,10.737500000006847,8.135783941420566,1167.3,0,0,0,1,0,0,13.629868366546333,99.99914332219652,0.0,0.0,0.0,10.0,9.598362166493525,0.0,0.0,0.0,0.0,1.0,7.8
56.0,5.0,5.0,10.8082294333965,106.688379449594,3.0,18.827244701348747,20.339947871608835,88.1,1,0,0,0,0,0,25.38415763254146,17.593643586833146,0.0,0.0,82.46311010215666,9.0,3.8436717535912654,0.0,0.0,0.0,0.0,1.0,11.3
204.0,4.0,13.333333333333334,10.8044869693421,106.728806977526,3.0,38.647438220481845,58.28290665694527,,0,0,0,0,0,1,20.25050569105691,,,,,12.0,4.380963883538596,0.0,0.0,0.0,1.0,0.0,34.0
76.0,2.0,20.0,10.7969822417324,106.68108431791,2.0,18.63592086332186,18.83383064658232,79.8,1,0,0,0,0,1,21.485572441587628,27.631578947368425,0.0,0.0,72.34335839598998,8.0,3.1974100822691987,0.0,0.0,0.0,1.0,0.0,11.5
300.0,9.0,30.0,10.8072193885983,106.623676944883,3.0,14.87073929990493,13.051852005459661,1109.4,0,0,1,0,0,0,20.480480660290983,22.70957274202271,0.0,0.0,77.29042725797729,40.0,9.141569573472024,0.0,0.0,0.0,0.0,1.0,36.0
70.0,2.0,6.0,10.8097368183889,106.692754128669,2.0,18.827244701348747,15.288713651298618,765.2,1,0,0,0,0,0,17.40171754184511,96.49503397804496,0.0,0.0,3.5023523261892313,7.0,3.860536706551581,0.0,0.0,0.0,1.0,0.0,9.4
51.0,2.0,4.0,10.7834649429933,106.678354106471,3.0,54.46617152529408,24.56391683041859,65.7,0,0,0,0,0,0,20.25050569105691,5.220700152207002,0.0,94.8097412480974,0.0,5.0,2.619584418826396,0.0,0.0,0.0,1.0,0.0,7.8
74.0,4.0,5.0,10.8255988612542,106.689963225037,2.0,11.098013468022373,15.149860937399001,146.0,1,1,0,0,0,0,14.324407498016885,24.876712328767123,0.0,0.0,75.10958904109589,24.0,5.647694552369363,0.0,0.0,0.0,0.0,1.0,14.6
51.0,3.0,6.0,10.794583957651,106.657608314522,0.0,19.38917355371901,18.093318479606467,44.2,0,1,1,1,0,1,20.25050569105691,20.15837104072398,0.0,0.0,79.84162895927601,7.0,5.18060250607727,1.0,0.0,0.0,1.0,0.0,8.8
55.0,4.0,6.0,10.7614338234842,106.590270992384,2.0,10.737500000006847,13.482984203694478,787.9,1,1,1,0,0,0,19.567814035091047,56.18606422134789,10.615560350298262,0.0,33.20218301814952,10.0,12.214461548891624,0.0,0.0,0.0,0.0,1.0,6.69
52.0,4.0,6.0,10.8710339688032,106.732681686849,0.0,15.48107692307722,17.332544455579256,,1,1,1,1,0,0,20.25050569105691,,,,,10.0,11.115981961680358,0.0,0.0,0.0,1.0,0.0,4.5
38.0,2.0,3.0,10.7765733981852,106.605641773778,3.0,10.737500000006847,11.79885823719474,279.8,0,1,1,1,0,0,18.529132150179485,31.375982844889204,0.0,0.0,68.62044317369549,4.0,10.427476181097193,0.0,0.0,0.0,1.0,0.0,4.98
64.0,4.0,10.0,10.8504188221545,106.615632251397,2.0,8.826587030733174,14.285467555474675,,0,0,0,0,0,0,20.25050569105691,,,,,9.0,12.474561104669894,0.0,0.0,0.0,0.0,1.0,8.89
386.0,10.0,30.0,10.762538935515,106.686733086945,0.0,53.75818181817839,59.25648860397285,2971.1,0,0,0,0,0,0,72.86150756189254,74.29975429975431,0.0,0.0,25.698899397529537,20.0,2.1687338061168098,0.0,1.0,0.0,1.0,0.0,458.0
51.0,2.0,5.0,10.8718379765399,106.666757261166,3.0,8.826587030733174,9.397256429506324,2225.8,1,1,1,0,0,0,20.25050569105691,100.0,0.0,0.0,0.0,5.0,11.297507467358534,0.0,0.0,1.0,0.0,0.0,4.2
384.0,3.0,24.8,10.86637925589244,106.8167315555206,0.0,19.053737403258268,21.65981557903033,,1,0,0,1,0,1,19.567814035091047,,,,,13.0,16.13965695067342,1.0,0.0,0.0,1.0,0.0,25.0
80.0,4.0,10.0,10.881638523495,106.637886682912,3.0,8.826587030733174,11.964993989558423,33762.1,0,0,0,0,1,0,17.937494731808936,0.2522651138406674,18.8968103287414,80.85089493840727,0.0,10.0,13.625065667931644,0.0,0.0,0.0,0.0,1.0,8.59
140.0,3.0,12.0,10.7719831959622,106.669288276788,3.0,24.737282299672927,20.454141465138118,240.0,0,0,0,0,0,1,26.807768326301748,24.616666666666667,0.0,0.0,75.4875,14.0,3.503534510194315,0.0,0.0,0.0,1.0,0.0,53.0
39.0,4.0,3.0,10.7161039104522,106.631755785234,0.0,9.364834955468142,15.288713651298618,349.4,0,0,0,0,0,0,19.097351273645593,13.649112764739554,86.3594733829422,0.0,0.0,7.0,10.08690903009584,0.0,0.0,0.0,0.0,1.0,4.2
990.0,3.0,37.2,10.8062295220215,106.743832418038,0.0,38.647438220481845,58.28290665694527,,0,0,0,0,0,1,20.25050569105691,,,,,53.0,5.751983131301858,0.0,0.0,0.0,1.0,0.0,228.0
130.0,7.0,18.2,10.7692039823815,106.690307187657,3.0,53.75818181817839,80.81249751703449,2516.2,0,0,0,0,0,1,72.86150756189254,94.08870519036644,0.0,5.91010253556951,0.0,8.0,1.4003549659065315,0.0,1.0,0.0,1.0,0.0,58.0
232.0,6.0,12.64,10.8023973511541,106.641715744194,3.0,19.38917355371901,16.235786892588425,1401.9,0,0,0,0,0,1,28.509028490145873,99.85804978957128,0.0,0.0,0.1390969398673229,8.0,7.119717696751046,0.0,0.0,0.0,1.0,0.0,62.0
75.0,3.0,14.0,10.879043,106.55251,0.0,9.79203162611253,14.844224781192123,34049.8,0,0,1,0,1,0,20.25050569105691,0.0,10.637712996845796,89.36234574065045,0.0,6.0,19.865558003385125,0.0,1.0,1.0,0.0,0.0,6.5
72.0,3.0,6.166666666666666,10.8455069821256,106.664734478905,0.0,11.098013468022373,9.674953215540254,921.7,0,1,0,0,0,1,18.21396773749808,16.597591407182378,83.40674839969621,0.0,0.0,9.0,8.689687176116783,0.0,0.0,0.0,1.0,0.0,9.3
177.0,3.0,15.0,10.8045403973595,106.79315461159,0.0,19.053737403258268,20.177656837434043,,0,0,0,0,0,0,20.87381731865282,,,,,7.0,10.543950803164307,0.0,0.0,0.0,1.0,0.0,19.0
125.0,1.0,12.0,10.8488169758077,106.781668364468,3.0,19.053737403258268,19.526540511910742,,0,0,0,0,0,0,20.25050569105691,,,,,2.0,11.958048906212335,0.0,0.0,0.0,1.0,0.0,11.5
52.0,3.0,5.0,10.7869510672708,106.76362445578,2.0,38.647438220481845,23.346267146280812,,1,0,0,1,0,0,19.567814035091047,,,,,7.0,6.937383359680418,0.0,0.0,0.0,0.0,1.0,7.6
90.0,5.0,3.0,10.7667055072752,106.683653709313,2.0,53.75818181817839,22.30565215020024,1877.5,1,1,1,1,0,0,22.511366997733134,96.83302263648469,0.0,0.0,3.1675099866844207,17.0,2.167957568771107,0.0,0.0,0.0,1.0,0.0,29.5
32.0,3.0,4.3,10.800263223944,106.690415332418,3.0,18.63592086332186,15.288713651298618,232.2,0,0,0,1,0,1,19.5012876430688,91.60637381567616,0.0,0.0,8.406546080964686,5.0,2.9395581824953405,0.0,0.0,0.0,0.0,1.0,5.79
67.0,4.0,6.5,10.7605255950666,106.673150132616,0.0,24.737282299672927,20.918551142754602,7763.4,0,1,0,0,1,1,20.25050569105691,81.37890614936755,0.0,3.720148388592627,14.901074271582038,8.0,3.504638001634727,0.0,0.0,0.0,0.0,1.0,13.0
57.0,4.0,6.0,10.8011714074988,106.695013381541,3.0,18.827244701348747,15.13100312673361,227.3,0,0,0,0,0,0,21.719959264527965,0.0,0.0,0.0,100.0,9.0,2.876809844727512,0.0,0.0,0.0,0.0,1.0,10.98
92.0,2.0,5.3,10.8435512973653,106.634629907443,2.0,8.826587030733174,15.500554052311237,112.4,1,0,0,0,0,1,20.25050569105691,78.00711743772241,22.0373665480427,0.0,0.0,5.0,10.446430156391092,0.0,0.0,0.0,1.0,0.0,6.39
100.0,4.0,5.0,10.7449929826099,106.715685722816,0.0,17.789285714285825,17.287883938053668,2636.1,0,1,0,1,1,0,18.207540931800263,60.42487007321422,39.57626797162475,0.0,0.0,8.0,3.798185852653578,0.0,0.0,0.0,1.0,0.0,11.9
